,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
99,2005-02-07 16:20:07,1107822007.0,adbe,0.0,63.67,67.3764458465,1203.030029,5.16548866616,62.2109571803,outperform
100,2008-12-04 14:30:57,1228429857.0,adbe,0.08,22.54,-40.7465825447,816.210022,-28.6492242515,-12.0973582932,underperform
101,2008-12-05 00:15:55,1228464955.0,adbe,0.08,20.44,-46.2670872766,848.809998,-25.7994263879,-20.4676608887,underperform
102,2008-12-20 21:49:14,1229838554.0,adbe,0.079,22.13,-41.8243953733,904.419983,-20.9381585008,-20.8862368725,underperform
103,2011-04-24 04:02:44,1303642964.0,adbe,28.03,33.48,-11.9873817035,1337.380005,16.9099842629,-28.8973659664,underperform
104,2011-08-05 04:11:46,1312542706.0,adbe,28.17,26.15,-31.2565720294,1254.050049,9.62551477167,-40.8820868011,underperform
105,2011-09-25 13:42:54,1316983374.0,adbe,28.17,24.88,-34.5951629863,1129.560059,-1.25704868626,-33.3381143001,underperform
106,2012-03-24 12:13:07,1332616387.0,adbe,25.26,33.81,-11.119873817,1402.890015,22.6366843852,-33.7565582022,underperform
107,2012-07-02 04:31:22,1341228682.0,adbe,24.76,32.37,-14.905362776,1362.160034,19.0761844376,-33.9815472136,underperform
108,2004-11-11 09:56:15,1100195775.0,adi,0.0,38.5,0.0,1164.890015,0.0,0.0,underperform
109,2005-01-24 03:34:28,1106566468.0,adi,0.0,34.47,-10.4675324675,1167.869995,0.255816425725,-10.7233488933,underperform
110,2005-03-17 01:05:45,1111050345.0,adi,0.0,35.92,-6.7012987013,1206.829956,3.60033483504,-10.3016335363,underperform
111,2005-04-08 23:33:20,1113028400.0,adi,0.0,35.67,-7.35064935065,1181.390015,1.41644273601,-8.76709208666,underperform
112,2005-10-31 08:19:48,1130775588.0,adi,0.0,34.61,-10.1038961039,1198.410034,2.87752651052,-12.9814226144,underperform
113,2011-08-05 04:12:35,1312542755.0,adi,25.32,31.63,-17.8441558442,1254.050049,7.65394439406,-25.4981002382,underperform
114,2012-03-19 11:50:51,1332183051.0,adi,22.65,39.7,3.11688311688,1404.170044,20.5409975121,-17.4241143952,underperform
115,2013-04-22 02:24:41,1366622681.0,adi,17.57,42.36,10.025974026,1555.25,33.5104584959,-23.48448447,underperform
116,2013-05-11 12:07:46,1368299266.0,adi,17.57,46.79,21.5324675325,1632.689941,40.1582913388,-18.6258238063,underperform
117,2004-01-31 04:11:22,1075551082.0,adm,0.703,15.66,0.0,1128.47998,0.0,0.0,underperform
118,2004-06-19 13:33:48,1087677228.0,adm,0.848,16.28,3.95913154534,1133.560059,0.450170059729,3.50896148561,outperform
119,2005-02-14 20:39:46,1108442386.0,adm,0.528,24.5,56.4495530013,1205.300049,6.80739316262,49.6421598387,outperform
120,2007-06-18 03:24:32,1182162272.0,adm,0.597,34.57,120.753512133,1532.910034,35.8384784106,84.9150337222,outperform
121,2007-10-12 05:57:34,1192193854.0,adm,0.47,34.9,122.860791826,1565.150024,38.6954178842,84.1653739422,outperform
122,2009-01-09 16:47:55,1231548475.0,adm,0.628,27.94,78.4163473819,934.700012,-17.1717683463,95.5881157282,outperform
123,2011-07-29 19:09:22,1311991762.0,adm,85.48,30.64,95.6577266922,1331.939941,18.0295587521,77.6281679401,outperform
124,2011-08-05 04:13:27,1312542807.0,adm,85.48,28.05,79.1187739464,1254.050049,11.1273634646,67.9914104817,outperform
125,2011-12-31 04:39:51,1325335191.0,adm,51.59,28.6,82.6309067688,1249.640015,10.7365692921,71.8943374768,outperform
126,2012-07-28 11:39:41,1343500781.0,adm,55.68,27.54,75.8620689655,1337.890015,18.5568232234,57.3052457421,outperform
127,2013-06-07 17:17:34,1370650654.0,adm,46.71,33.02,110.855683269,1631.380005,44.5643727769,66.2913104926,outperform
128,2006-05-29 06:22:46,1148908966.0,adp,0.012,45.98,0.0,1280.160034,0.0,0.0,underperform
129,2007-04-28 09:46:50,1177778810.0,adp,0.012,45.17,-1.76163549369,1495.420044,16.8150859489,-18.5767214425,underperform
130,2007-05-28 15:46:58,1180392418.0,adp,0.007,49.23,7.06829056111,1515.72998,18.4016013423,-11.3333107812,underperform
131,2007-06-30 05:05:33,1183205133.0,adp,0.007,48.47,5.41539799913,1506.339966,17.6680982059,-12.2527002068,underperform
132,2007-10-22 09:12:40,1193069560.0,adp,0.008,47.52,3.34928229665,1500.630005,17.222063269,-13.8727809724,underperform
133,2008-12-07 07:53:01,1228665181.0,adp,0.288,37.59,-18.2470639408,845.219971,-33.9754445888,15.728380648,outperform
134,2011-08-05 04:11:51,1312542711.0,adp,0.57,47.88,4.13223140496,1254.050049,-2.0395875755,6.17181898046,outperform
135,2011-09-30 03:20:09,1317378009.0,adp,0.62,48.12,4.65419747716,1175.380005,-8.18491643366,12.8391139108,outperform
136,2012-04-20 21:07:33,1334981253.0,adp,0.58,55.02,19.6607220531,1390.780029,8.6411067415,11.0196153116,outperform
137,2012-07-26 00:02:28,1343286148.0,adp,0.27,55.41,20.5089169204,1350.52002,5.49618673692,15.0127301835,outperform
138,2012-11-04 17:34:40,1352079280.0,adp,0.26,57.37,24.7716398434,1427.589966,11.5165235661,13.2551162773,outperform
139,2013-04-26 14:37:22,1367012242.0,adp,0.46,66.59,44.8238364506,1578.780029,23.3267706434,21.4970658072,outperform
140,2003-10-03 16:48:40,1065224920.0,adsk,0.0,18.44,0.0,995.969971,0.0,0.0,underperform
141,2004-06-20 07:36:21,1087742181.0,adsk,0.0,39.4,113.665943601,1132.050049,13.6630703698,100.002873231,outperform
142,2005-02-25 15:10:44,1109373044.0,adsk,0.0,29.83,61.7678958785,1184.160034,18.8951543199,42.8727415587,outperform
143,2013-05-09 13:05:42,1368129942.0,adt,69.94,44.47,0.0,1617.5,0.0,0.0,underperform
144,2004-09-24 17:33:50,1096072430.0,aee,0.804,46.07,0.0,1129.300049,0.0,0.0,underperform
145,2005-03-05 21:55:16,1110088516.0,aee,0.974,51.83,12.5027132624,1210.079956,7.15309514699,5.34961811543,outperform
146,2005-12-16 06:43:01,1134744181.0,aee,0.863,52.32,13.5663121337,1267.430054,12.2314707347,1.33484139904,outperform
147,2007-12-15 01:09:10,1197709750.0,aee,1.02,53.77,16.7136965487,1486.589966,31.6381742227,-14.924477674,underperform
148,2012-04-23 16:14:50,1335222890.0,aee,86.81,31.45,-31.7343173432,1378.530029,22.0694208081,-53.8037381513,underperform
149,2008-12-08 10:59:42,1228762782.0,aeo,0.054,9.73,0.0,876.070007,0.0,0.0,underperform
150,2009-01-12 14:36:10,1231799770.0,aeo,0.054,10.13,4.11099691675,890.349976,1.63000318307,2.48099373368,outperform
151,2004-10-10 13:54:05,1097441645.0,aep,1.739,32.38,0.0,1130.650024,0.0,0.0,underperform
